dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
122260	NATIVE		East-Australian subregion; Australia (country)		
122270	NATIVE		West-Australian subregion, East-Australian subregion; Australia (country)		
122340	NATIVE		East-Australian subregion; Australia (country)		
122290	NATIVE		East-Australian subregion; Australia (country)		
122310	NATIVE		East-Australian subregion; Australia (country)		
122300	NATIVE		East-Australian subregion; Australia (country)		
122280	NATIVE		East-Australian subregion; Australia (country)		
122330	NATIVE		West-Australian subregion, East-Australian subregion; Australia (country)		
122320	NATIVE		East-Australian subregion; Australia (country)		
122240	NATIVE		East-Australian subregion; Australia (country)		
122200	NATIVE		Andean subregion; Peru		
122190	NATIVE		Patagonian subregion; Argentina		
122210	NATIVE		Andean subregion; Peru		
122140	NATIVE		Andean subregion; Ecuador, Peru		
122150	NATIVE		Patagonian subregion; Argentina		
122160	NATIVE		Andean subregion; Ecuador		
122170	NATIVE		Andean subregion; Venecuela, Columbia, Ecuador		
122130	NATIVE		Andean subregion; Columbia		
122120	NATIVE		Patagonian subregion; Argentina, Chile		
121750	NATIVE		as; Argentina (except North-West part), Chile (except Atacama, Antofagasta and Tarapaki), Paraguay, Brazil (South part except of the South of Rio-Grane de Sul), Argentina (North-West part), Peru (except eastern part Loreta, Ucayali), Chile		
121760	NATIVE		Andean subregion, Brazilian subregion; Paraguay, Brazil (South part except of the South of Rio-Grane de Sul), Argentina (North-West part), Peru (except eastern part Loreta, Ucayali), Chile		
121770	NATIVE		Patagonian subregion; Chile, Argentina		
121790	NATIVE		Andean subregion; Peru		
121800	NATIVE		Andean subregion; Bolivia, Peru		
121810	NATIVE		Andean subregion; Peru, Chile		
121970	NATIVE		Patagonian subregion; Chile, Argentina		
121980	NATIVE		Andean subregion; Columbia, Ecuador		
121950	NATIVE		Patagonian subregion; Argentina		
121960	NATIVE		Andean subregion; Peru		
121920	NATIVE		Andean subregion; Peru, Ecuador		
121940	NATIVE		Andean subregion; Peru		
121910	NATIVE		Patagonian subregion; Chile		
121930	NATIVE		Andean subregion; Ecuador		
121890	NATIVE		Patagonian subregion; Chile		
121900	NATIVE		Andean subregion; Chile, Peru, Bolivia		
121870	NATIVE		Patagonian subregion; Argentina		
121880	NATIVE		Patagonian subregion; Chile		
121850	NATIVE		Patagonian subregion; Chile		
121860	NATIVE		Patagonian subregion; Argentina		
121830	NATIVE		Andean subregion; Ecuador		
121840	NATIVE		Patagonian subregion; Argentina		
122100	NATIVE		Patagonian subregion; Argentina, Chile		
122090	NATIVE		Patagonian subregion; Chile		
122070	NATIVE		Andean subregion; Venecuela, Ecuador		
122080	NATIVE		Andean subregion; Peru, Chile		
122060	NATIVE		Patagonian subregion; Argentina		
122050	NATIVE		Andean subregion; Columbia		
122040	NATIVE		Patagonian subregion; Chile		
122030	NATIVE		Carribean subregion; Panama (country)		
122020	NATIVE		Patagonian subregion; Chile		
122010	NATIVE		Andean subregion; Columbia, Ecuador		
122000	NATIVE		Andean subregion; Columbia, Ecuador		
121990	NATIVE		Andean subregion; Peru		
121680	NATIVE		Patagonian subregion; Argentina, Chile		
121730	NATIVE		Patagonian subregion; Chile		
121710	NATIVE		Andean subregion; Columbia, Ecuador		
121720	NATIVE		Andean subregion; Peru, Chile		
106900	NATIVE		East-Asian subregion; Nepal		
106920	NATIVE		Indo-Chinese subregion; Thailand		
106910	NATIVE		Indo-Chinese subregion; Vietnam		
106860	NATIVE		West-Mediterranean province; Morocco, Tunesia		
106840	NATIVE		Sahara-Arabian subregion; Iraq		
106850	NATIVE		Turanian province; Turkmenistan		
106680	NATIVE		Turanian province, Central-Asian subregion; Turkmenistan, Uzbekistan, Mongolia, China, China, Kazakhstan, Russia		
106740	NATIVE		Turanian province; Turkmenistan, Uzbekistan, Kazakhstan		
106760	NATIVE		Central-Asian subregion; China		
139020	NATIVE		Central-Asian subregion; China		
106720	NATIVE		Turanian province; Turkmenistan, Uzbekistan, Kazakhstan, Russia		
106730	NATIVE		Central-Asian subregion; Mongolia		
106690	NATIVE		Turanian province; Turkmenistan		
106700	NATIVE		Turanian province, Central-Asian subregion; China, Kazakhstan		
106770	NATIVE		Turanian province; Turkmenistan, Kazakhstan		
106660	NATIVE		Iranian province; Afghanistan		
106670	NATIVE		Sahara-Arabian subregion; Syria, Saudi Arabia		
106800	NATIVE		Iranian province; Iran		
106810	NATIVE		Iranian province, Turanian province; Turkmenistan, Tajikistan		
106820	NATIVE		Iranian province, Turanian province; Turkmenistan		
106830	NATIVE		Turanian province; Tajikistan		
106790	NATIVE		Iranian province; Iran		
106780	NATIVE		Iranian province; Iran		
106610	NATIVE		Iranian province, Turanian province, European province; Turkmenistan, Tajikistan, Uzbekistan, Kazakhstan, Russia, Iran		
106590	NATIVE		Sahara-Arabian subregion; Tunesia, Israel		
106600	NATIVE		Iranian province; Azerbaijan		
106580	NATIVE		Iranian province; Afghanistan		
106650	NATIVE		Iranian province; Afghanistan, Iran		
106640	NATIVE		Turanian province; Azerbaijan		
106630	NATIVE		Turanian province; Turkmenistan		
106620	NATIVE		Iranian province; Afghanistan		
138360	NATIVE		East-African subregion; Kenya		
138380	NATIVE		East-African subregion; Zaire (country), Uganda, Kenya		
138350	NATIVE		East-African subregion; Tanzania		
138340	NATIVE		East-African subregion; Kenya		
138430	NATIVE		East-African subregion; Ethiopia		
138420	NATIVE		East-African subregion; Tanzania		
138370	NATIVE		East-African subregion; Tanzania, Kenya, Zaire (country)		
138390	NATIVE		East-African subregion; Tanzania, Kenya		
138410	NATIVE		East-African subregion; Tanzania		
138400	NATIVE		East-African subregion; Tanzania, Kenya		
135860	NATIVE		Central-Asian subregion; China		
135880	NATIVE		Central-Asian subregion, Siberian province; Russia, Mongolia		
135910	NATIVE		East-Asian subregion; Nepal		
135900	NATIVE		Turanian province; Kazakhstan		
135920	NATIVE		Central-Asian subregion; China		
135930	NATIVE		Turanian province, Central-Asian subregion; Turkmenistan, China, Kirghizstan, Uzbekistan, Kazakhstan		
135800	NATIVE		Central-Asian subregion; Kirghizstan		
135790	NATIVE		East-Asian subregion; Nepal		
135810	NATIVE		Central-Asian subregion; Nepal		
135830	NATIVE		Central-Asian subregion; China		
135820	NATIVE		East-Asian subregion; Nepal		
135840	NATIVE		East-Asian subregion; China		
135850	NATIVE		Turanian province, Central-Asian subregion; Turkmenistan, China		
135870	NATIVE		European province; Russia		
135550	NATIVE		European province; Russia, Mongolia		
135570	NATIVE		East-Asian subregion; Nepal		
135520	NATIVE		Central-Asian subregion; Nippon, Korea, China		
135540	NATIVE		East-Asian subregion; China		
135590	NATIVE		Iranian province; Iran		
135610	NATIVE		Turanian province, European province; Azerbaijan, Russia, Georgia (= Gruzia)		
135560	NATIVE		East-Asian subregion; Nepal		
135580	NATIVE		East-Asian subregion; China		
135470	NATIVE		Central-Asian subregion; China		
135460	NATIVE		East-Asian subregion; Nepal		
135490	NATIVE		Central-Asian subregion; China		
135510	NATIVE		European province; Mongolia		
135480	NATIVE		Turanian province, Central-Asian subregion; Kirghizstan, Kazakhstan		
135500	NATIVE		East-Asian subregion; China		
135740	NATIVE		East-Asian subregion; China		
135730	NATIVE		West-American subregion; USA		
135720	NATIVE		East-Asian subregion; China		
135710	NATIVE		Central-Asian subregion; Mongolia		
135780	NATIVE		Iranian province, Turanian province; Iran, Afghanistan, Turkmenistan		
135770	NATIVE		East-Asian subregion; Nepal		
135750	NATIVE		East-Asian subregion; China		
135760	NATIVE		Central-Asian subregion; China		
135630	NATIVE		East-Asian subregion; Nepal		
135640	NATIVE		Central-Asian subregion; China		
135620	NATIVE		European province; Armeniya		
135600	NATIVE		Iranian province; Iran		
135670	NATIVE		East-Asian subregion; China		
135680	NATIVE		East-Asian subregion; China		
135690	NATIVE		East-Asian subregion; China		
135700	NATIVE		East-Asian subregion; China		
135660	NATIVE		West-American subregion; USA		
135650	NATIVE		Central-Asian subregion, Siberian province; Mongolia, Russia		
136010	NATIVE		Turanian province; Turkmenistan		
135950	NATIVE		Turanian province; Turkmenistan		
135960	NATIVE		Iranian province; Afghanistan		
135990	NATIVE		Iranian province; Afghanistan		
135970	NATIVE		Iranian province; Afghanistan		
136000	NATIVE		Iranian province; Iran		
135980	NATIVE		Iranian province; Turkmenistan		
136040	NATIVE		West-American subregion; USA, Canada		
135240	NATIVE		Central-Asian subregion, Siberian province; Russia, China		
135250	NATIVE		Central-Asian subregion, East-Asian subregion; China		
135310	NATIVE		Europ.& Siberian prov., East-Mediterranean province, Sahara-Arabian subregion, Iranian & Turanian prov., Central-Asian subregion: Ukraine, Mongolia, China, Kirghizstan, Kazakhstan, Turkey, Jordania, Russia, Syria, Israel, Saudi Arabia		
135400	NATIVE		Central-Asian subregion; Kazakhstan		
135410	NATIVE		Sahara-Arabian subregion, East-Mediterranean province; Saudi Arabia, Jordania, Syria, Israel		
135430	NATIVE		Central-Asian subregion; China		
135440	NATIVE		Central-Asian subregion; China		
135330	NATIVE		Turanian province, Central-Asian subregion, Siberian province, European province; Kazakhstan, Mongolia, Russia		
135420	NATIVE		Turanian province; Turkmenistan		
135360	NATIVE		Central-Asian subregion; Mongolia		
135370	NATIVE		Iranian province; Iran		
135380	NATIVE		Turanian province; Kazakhstan		
135390	NATIVE		Central-Asian subregion; Kirghizstan		
135340	NATIVE		Iranian province, Central-Asian subregion, Siberian province, European province; Mongolia, Ukraine, Turkey		
135350	NATIVE		Central-Asian subregion; China		
135260	NATIVE		Central-Asian subregion, Siberian province; Mongolia, Russia		
135300	NATIVE		Central-Asian subregion, Siberian province; Mongolia, Russia		
135270	NATIVE		Central-Asian subregion, Siberian province; Russia, Mongolia		
135280	NATIVE		Central-Asian subregion, Siberian province; Russia, Mongolia		
