dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	gbif:genericName	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
x4					ACCEPTED	KINGDOM	Animalia									
x6	x4				ACCEPTED	PHYLUM	Arthropoda									
x8	x6				ACCEPTED	CLASS	Insecta									
xA	x8				ACCEPTED	ORDER	Siphonaptera									
xG4	xA				ACCEPTED	SUPERFAMILY	Stephanocircidoidea									
xG6	xG4				ACCEPTED	FAMILY	Stephanocircidae									
xGQ	xG6				ACCEPTED	GENUS	Stephanocircus									
122260	xGQ				ACCEPTED	SPECIES	Stephanocircus concinnus Rothschild, 1916	Stephanocircus	concinnus				ICZN			
122270	xGQ				ACCEPTED	SPECIES	Stephanocircus dasyuri Skuse, 1893	Stephanocircus	dasyuri				ICZN			
122340	xGQ				ACCEPTED	SPECIES	Stephanocircus simsoni Rothschild, 1905	Stephanocircus	simsoni				ICZN			
122290	xGQ				ACCEPTED	SPECIES	Stephanocircus greeni Traub & Dunnet, 1973	Stephanocircus	greeni				ICZN			
122310	122290				ACCEPTED	INFRASPECIFIC_NAME	Stephanocircus greeni tasmanica Traub & Dunnet, 1973	Stephanocircus	greeni	tasmanica			ICZN			
122300	122290				ACCEPTED	INFRASPECIFIC_NAME	Stephanocircus greeni greeni Traub & Dunnet, 1973	Stephanocircus	greeni	greeni			ICZN			
122280	xGQ				ACCEPTED	SPECIES	Stephanocircus domrowi Traub & Dunnet, 1973	Stephanocircus	domrowi				ICZN			
122330	xGQ				ACCEPTED	SPECIES	Stephanocircus pectinipes Rothschild, 1915	Stephanocircus	pectinipes				ICZN			
122320	xGQ				ACCEPTED	SPECIES	Stephanocircus harrisoni Traub & Dunnet, 1973	Stephanocircus	harrisoni				ICZN			
xGN	xG6				ACCEPTED	GENUS	Coronapsylla									
122240	xGN				ACCEPTED	SPECIES	Coronapsylla jarvisi (Rothschild, 1908)	Coronapsylla	jarvisi				ICZN			
xGL	xG6				ACCEPTED	GENUS	Tiarapsylla									
122200	xGL				ACCEPTED	SPECIES	Tiarapsylla bella Johnson, 1956	Tiarapsylla	bella				ICZN			
122190	xGL				ACCEPTED	SPECIES	Tiarapsylla argentina Jordan, 1942	Tiarapsylla	argentina				ICZN			
