taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1416231	Chaetopsylla floridensis (I.Fox, 1939)	1416231	Chaetopsylla floridensis (I.Fox, 1939)	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Vermipsyllidae	8843	Chaetopsylla	1416217	Chaetopsylla floridensis	1416231	
1419125	Anomiopsyllus nudatus (Baker, 1898)	1419125	Anomiopsyllus nudatus (Baker, 1898)	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Anomiopsyllus	1419119	Anomiopsyllus nudatus	1419125	
6194005	Mesopsylla tuschkan propinacta Traub & Evans, 1967	6194005	Mesopsylla tuschkan propinacta Traub & Evans, 1967	3	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Mesopsylla	1417846	Mesopsylla tuschkan	1417847	
1416395	Delostichus incisus Beaucournu & Torres-Mura, 1988	1416395	Delostichus incisus Beaucournu & Torres-Mura, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Delostichus	1416388	Delostichus incisus	1416395	
1417492	Myodopsylla borealis Lewis, 1978	1417492	Myodopsylla borealis Lewis, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Myodopsylla	1417474	Myodopsylla borealis	1417492	
1417512	Lagaropsylla obliqua Smit, 1957	1417512	Lagaropsylla obliqua Smit, 1957	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Lagaropsylla	1417505	Lagaropsylla obliqua	1417512	
1418195	Ctenophthalmus Kolenati, 1856	1418195	Ctenophthalmus Kolenati, 1856	412	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195			
1418946	Catallagia dacenkoi Ioff, 1940	1418946	Catallagia dacenkoi Ioff, 1940	40	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Catallagia	1418928	Catallagia dacenkoi	1418946	
1419669	Pygiopsylla phiola Smit, 1979	1419669	Pygiopsylla phiola Smit, 1979	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pygiopsyllidae	5329	Pygiopsylla	1419662	Pygiopsylla phiola	1419669	
5050776	Ctenophthalmus secundus thracius Peus, 1978	5050776	Ctenophthalmus secundus thracius Peus, 1978	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus secundus	5050772	
6194562	Catallagia dacenkoi fulleri (Hubbard, 1951)	1418946	Catallagia dacenkoi Ioff, 1940	1	SUBSPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Catallagia	1418928	Catallagia dacenkoi	1418946	
1417237	Nosopsyllus geneatus Traub, 1963	1417237	Nosopsyllus geneatus Traub, 1963	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Nosopsyllus	1417236	Nosopsyllus geneatus	1417237	
1417889	Dolichopsyllus stylosus (Baker, 1904)	1417889	Dolichopsyllus stylosus (Baker, 1904)	28	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Dolichopsyllus	1417888	Dolichopsyllus stylosus	1417889	
1417900	Paractenopsyllus pauliani Lumaret, 1962	1417900	Paractenopsyllus pauliani Lumaret, 1962	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Paractenopsyllus	1417896	Paractenopsyllus pauliani	1417900	
1418909	Megarthroglossus oregonensis (Hubbard, 1947)	1418906	Megarthroglossus procus Jordan & Rothschild, 1915	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Megarthroglossus	1418905	Megarthroglossus procus	1418906	
1419147	Hystrichopsylla E.O.Taschenberg, 1880	1419147	Hystrichopsylla E.O.Taschenberg, 1880	33	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Hystrichopsylla	1419147			
1419360	Xenopsylla vexabilis Jordan, 1925	1419360	Xenopsylla vexabilis Jordan, 1925	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Xenopsylla	1419358	Xenopsylla vexabilis	1419360	
1419701	Lentistivalius alienus (Smit, 1958)	1419701	Lentistivalius alienus (Smit, 1958)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stivaliidae	5331	Lentistivalius	1419694	Lentistivalius alienus	1419701	
6194408	Orthopsylloides orthodactylus owiensis Holland, 1969	6194408	Orthopsylloides orthodactylus owiensis Holland, 1969	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stivaliidae	5331	Orthopsylloides	1419726	Orthopsylloides orthodactylus	1419727	
7198706	Ischnopsyllus simplex simplex	7198706	Ischnopsyllus simplex simplex	20	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Ischnopsyllus	1417597	Ischnopsyllus simplex	1417630	
1416471	Polygenis pygaerus (Wagner, 1937)	1416471	Polygenis pygaerus (Wagner, 1937)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Polygenis	1416402	Polygenis pygaerus	1416471	
1416682	Jellisonia ironsi (Eads, 1947)	1416682	Jellisonia ironsi (Eads, 1947)	58	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Jellisonia	1416668	Jellisonia ironsi	1416682	
1416859	Oropsylla ilovaiskii Wagner & Ioff, 1926	1416859	Oropsylla ilovaiskii Wagner & Ioff, 1926	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Oropsylla	1416848	Oropsylla ilovaiskii	1416859	
1419265	Stenistomera hubbardi Egoscue, 1968	1419265	Stenistomera hubbardi Egoscue, 1968	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Stenistomera	1419261	Stenistomera hubbardi	1419265	
5051018	Ctenophthalmus agyrtes verbanus Jordan & Rothschild, 1920	5051018	Ctenophthalmus agyrtes verbanus Jordan & Rothschild, 1920	11	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus agyrtes	5050990	
1417581	Alectopsylla unisetosa Mahnert, 1976	1417581	Alectopsylla unisetosa Mahnert, 1976	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Alectopsylla	1417580	Alectopsylla unisetosa	1417581	
