"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYU1",NA,NA,NA,NA,NA,NA,NA,NA,"Orthopsylloides orthopsylloides abacetus (Jordan & Rothschild 1922)",NA,NA,NA,NA,NA,1922,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Orthopsylloides",NA,"orthopsylloides","abacetus",NA,NA,"(Jordan & Rothschild 1922)",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA
"BYU2",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus evidens abyssinicus Beaucournu, 1991",NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"evidens","abyssinicus",NA,NA,"Beaucournu, 1991",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU3",NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus laeviceps acer (Mikulin 1957)",NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Nosopsyllus",NA,"laeviceps","acer",NA,NA,"(Mikulin 1957)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU4",NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia tripectinata acmaea Jordan, 1958",NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Stenoponia",NA,"tripectinata","acmaea",NA,NA,"Jordan, 1958",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Stenoponiinae"
"BYU5",NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla hesperomys adelpha (Rothschild 1906)",NA,NA,NA,NA,NA,1906,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"hesperomys","adelpha",NA,NA,"(Rothschild 1906)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae"
"BYU6",NA,NA,NA,NA,NA,NA,NA,NA,"Megabothris advenarius advenarius (Wagner 1930)",NA,NA,NA,NA,NA,1930,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Megabothris",NA,"advenarius","advenarius",NA,NA,"(Wagner 1930)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae"
"BYU7",NA,NA,NA,NA,NA,NA,NA,NA,"Wagnerina tecta aemulans Mikulin, 1957",NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Wagnerina",NA,"tecta","aemulans",NA,NA,"Mikulin, 1957",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Anomiopsyllinae"
"BYU8",NA,NA,NA,NA,NA,NA,NA,NA,"Leptopsylla aethiopica aethiopica (Rothschild 1908)",NA,NA,NA,NA,NA,1908,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Leptopsylla",NA,"aethiopica","aethiopica",NA,NA,"(Rothschild 1908)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae"
"BYU9",NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla affinis affinis Li & Hsieh, 1964",NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Neopsylla",NA,"affinis","affinis",NA,NA,"Li & Hsieh, 1964",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae"
"BYU10",NA,NA,NA,NA,NA,NA,NA,NA,"Euhoplopsyllus glacialis affinis (Baker 1904)",NA,NA,NA,NA,NA,1904,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Euhoplopsyllus",NA,"glacialis","affinis",NA,NA,"(Baker 1904)",NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea  ","Spilopsyllinae"
