"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYUSYN101",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vulgaris DeGeer, 1778","Pulex irritans Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vulgaris",NA,NA,NA,"1778",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN144",NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla narbeli Galli-Valerio, 1900","Hystrichopsylla talpae talpae (Curtis 1826)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla",NA,"narbeli",NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN109",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla caffrarica DeMeillon, 1940","Chiastopsylla rossi (Waterston 1909)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"caffrarica",NA,NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN113",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus calceatus septentrionalis DeMeillon, 1940","Ctenophthalmus calceatus calceatus Waterston, 1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"calceatus","septentrionalis",NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN110",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla couchae DeMeillon, 1940","Chiastopsylla godfreyi Waterston, 1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"couchae",NA,NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN114",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla crassus DeMeillon, 1940","Chiastopsylla rossi (Waterston 1909)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"crassus",NA,NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN111",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla numae klaveriana DeMeillon, 1940","Chiastopsylla numae (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"numae","klaveriana",NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN112",NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla octavii caledonia DeMeillon, 1940","Chiastopsylla octavii (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,"octavii","caledonia",NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN115",NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla achilla DeMeillon, 1947","Xenopsylla torta (Jordan & Rothschild 1908)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla",NA,"achilla",NA,NA,NA,"1947",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN116",NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla pasiphae DeMeillon, 1947","Xenopsylla eridos (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla",NA,"pasiphae",NA,NA,NA,"1947",NA,NA,NA,NA,NA,NA,NA,NA
