"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"CoLx4","x4",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KINGDOM",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLx6","x6",NA,NA,"x4",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHYLUM",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLx8","x8",NA,NA,"x6",NA,NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLASS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLxA","xA",NA,NA,"x8",NA,NA,NA,NA,"Siphonaptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ORDER",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLxG4","xG4",NA,NA,"xA",NA,NA,NA,NA,"Stephanocircidoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUPERFAMILY",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLxG6","xG6",NA,NA,"xG4",NA,NA,NA,NA,"Stephanocircidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAMILY",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLxGQ","xGQ",NA,NA,"xG6",NA,NA,NA,NA,"Stephanocircus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL122260","122260",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus concinnus Rothschild, 1916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"concinnus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122270","122270",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus dasyuri Skuse, 1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"dasyuri",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122340","122340",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus simsoni Rothschild, 1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"simsoni",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122290","122290",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus greeni Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"greeni",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122310","122310",NA,NA,"122290",NA,NA,NA,NA,"Stephanocircus greeni tasmanica Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"greeni","tasmanica","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122300","122300",NA,NA,"122290",NA,NA,NA,NA,"Stephanocircus greeni greeni Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"greeni","greeni","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122280","122280",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus domrowi Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"domrowi",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122330","122330",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus pectinipes Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"pectinipes",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122320","122320",NA,NA,"xGQ",NA,NA,NA,NA,"Stephanocircus harrisoni Traub & Dunnet, 1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stephanocircus",NA,"harrisoni",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLxGN","xGN",NA,NA,"xG6",NA,NA,NA,NA,"Coronapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL122240","122240",NA,NA,"xGN",NA,NA,NA,NA,"Coronapsylla jarvisi (Rothschild, 1908)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coronapsylla",NA,"jarvisi",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLxGL","xGL",NA,NA,"xG6",NA,NA,NA,NA,"Tiarapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL122200","122200",NA,NA,"xGL",NA,NA,NA,NA,"Tiarapsylla bella Johnson, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiarapsylla",NA,"bella",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122190","122190",NA,NA,"xGL",NA,NA,NA,NA,"Tiarapsylla argentina Jordan, 1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiarapsylla",NA,"argentina",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122210","122210",NA,NA,"xGL",NA,NA,NA,NA,"Tiarapsylla titschacki Wagner, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiarapsylla",NA,"titschacki",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLxGJ","xGJ",NA,NA,"xG6",NA,NA,NA,NA,"Sphinctopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL122140","122140",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla inca (Rothschild, 1914)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"inca",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122150","122150",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla mars (Rothschild, 1898)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"mars",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122160","122160",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla spillmanni Jordan, 1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"spillmanni",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122170","122170",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla tolmera (Jordan, 1931)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"tolmera",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122130","122130",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla diomedes Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"diomedes",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122120","122120",NA,NA,"xGJ",NA,NA,NA,NA,"Sphinctopsylla ares (Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla",NA,"ares",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLxGC","xGC",NA,NA,"xG6",NA,NA,NA,NA,"Craneopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL121750","121750",NA,NA,"xGC",NA,NA,NA,NA,"Craneopsylla minerva (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,"minerva",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL121760","121760",NA,NA,"121750",NA,NA,NA,NA,"Craneopsylla minerva minerva (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,"minerva","minerva","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL121770","121770",NA,NA,"121750",NA,NA,NA,NA,"Craneopsylla minerva wolffhuegeli (Rothschild, 1909)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,"minerva","wolffhuegeli","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLxGE","xGE",NA,NA,"xG6",NA,NA,NA,NA,"Nonnapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL121790","121790",NA,NA,"xGE",NA,NA,NA,NA,"Nonnapsylla rothschildi Wagner, 1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nonnapsylla",NA,"rothschildi",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
