"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"FMNH1",NA,NA,NA,NA,NA,NA,NA,NA,"Aetheca wagneri (Baker, 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Aetheca",NA,"wagneri",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH2",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dissimilis athabascae (Holland, 1952)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amalaraeus",NA,"dissimilis","athabascae",NA,NA,"Holland, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH3",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dissimilis dissimilis (Jordan, 1938)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amalaraeus",NA,"dissimilis","dissimilis",NA,NA,"Jordan, 1938",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH4",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dobbsi (Hubbard, 1940)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amalaraeus",NA,"dobbsi",NA,NA,NA,"Hubbard, 1940",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH5",NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus penicilliger penicilliger (Grube, 1851)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amalaraeus",NA,"penicilliger","penicilliger",NA,NA,"Grube, 1851",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH6",NA,NA,NA,NA,NA,NA,NA,NA,"Amaradix bitterrootensis bitterrootensis (Dunn, 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amaradix",NA,"bitterrootensis","bitterrootensis",NA,NA,"Dunn, 1923",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH7",NA,NA,NA,NA,NA,NA,NA,NA,"Amaradix bitterrootensis vonfintelis (Prince, 1959)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amaradix",NA,"bitterrootensis","vonfintelis",NA,NA,"Prince, 1959",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH8",NA,NA,NA,NA,NA,NA,NA,NA,"Amaradix euphorbi (Rothschild, 1905)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amaradix",NA,"euphorbi",NA,NA,NA,"Rothschild, 1905",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH9",NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius runatus necopinus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Amphalius",NA,"runatus","necopinus",NA,NA,"Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,NA
"FMNH10",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Amonopsyllus) ciliatus ciliatus Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllidae","Ceratophyllus","Amonopsyllus","ciliatus","ciliatus",NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
