"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"GBIF1416231",1416231,NA,1416231,NA,NA,NA,NA,NA,"Chaetopsylla floridensis (I.Fox, 1939)","Chaetopsylla floridensis (I.Fox, 1939)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla",NA,"floridensis",NA,"SPECIES",NA,"1939",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419125",1419125,NA,1419125,NA,NA,NA,NA,NA,"Anomiopsyllus nudatus (Baker, 1898)","Anomiopsyllus nudatus (Baker, 1898)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus",NA,"nudatus",NA,"SPECIES",NA,"Baker, 1898",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194005",6194005,NA,6194005,NA,NA,NA,NA,NA,"Mesopsylla tuschkan propinacta Traub & Evans, 1967","Mesopsylla tuschkan propinacta Traub & Evans, 1967",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Mesopsylla",NA,"tuschkan","propinacta","SUBSPECIES",NA,"Traub & Evans, 1967",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416395",1416395,NA,1416395,NA,NA,NA,NA,NA,"Delostichus incisus Beaucournu & Torres-Mura, 1988","Delostichus incisus Beaucournu & Torres-Mura, 1988",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Delostichus",NA,"incisus",NA,"SPECIES",NA,"Beaucournu & 1988",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417492",1417492,NA,1417492,NA,NA,NA,NA,NA,"Myodopsylla borealis Lewis, 1978","Myodopsylla borealis Lewis, 1978",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylla",NA,"borealis",NA,"SPECIES",NA,"Lewis, 1978",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417512",1417512,NA,1417512,NA,NA,NA,NA,NA,"Lagaropsylla obliqua Smit, 1957","Lagaropsylla obliqua Smit, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Lagaropsylla",NA,"obliqua",NA,"SPECIES",NA,"Smit, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418195",1418195,NA,1418195,NA,NA,NA,NA,NA,"Ctenophthalmus Kolenati, 1856","Ctenophthalmus Kolenati, 1856",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,NA,NA,"GENUS",NA,"Kolenati, 1856",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418946",1418946,NA,1418946,NA,NA,NA,NA,NA,"Catallagia dacenkoi Ioff, 1940","Catallagia dacenkoi Ioff, 1940",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Catallagia",NA,"dacenkoi",NA,"SPECIES",NA,"Ioff, 1940",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419669",1419669,NA,1419669,NA,NA,NA,NA,NA,"Pygiopsylla phiola Smit, 1979","Pygiopsylla phiola Smit, 1979",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Pygiopsylla",NA,"phiola",NA,"SPECIES",NA,"Smit, 1979",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050776",5050776,NA,5050776,NA,NA,NA,NA,NA,"Ctenophthalmus secundus thracius Peus, 1978","Ctenophthalmus secundus thracius Peus, 1978",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"secundus","thracius","SUBSPECIES",NA,"Peus, 1978",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194562",6194562,NA,1418946,NA,NA,NA,NA,NA,"Catallagia dacenkoi fulleri (Hubbard, 1951)","Catallagia dacenkoi Ioff, 1940",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Catallagia",NA,"dacenkoi","fulleri","SUBSPECIES",NA,"Hubbard, 1951",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417237",1417237,NA,1417237,NA,NA,NA,NA,NA,"Nosopsyllus geneatus Traub, 1963","Nosopsyllus geneatus Traub, 1963",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus",NA,"geneatus",NA,"SPECIES",NA,"Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417889",1417889,NA,1417889,NA,NA,NA,NA,NA,"Dolichopsyllus stylosus (Baker, 1904)","Dolichopsyllus stylosus (Baker, 1904)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Dolichopsyllus",NA,"stylosus",NA,"SPECIES",NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417900",1417900,NA,1417900,NA,NA,NA,NA,NA,"Paractenopsyllus pauliani Lumaret, 1962","Paractenopsyllus pauliani Lumaret, 1962",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Paractenopsyllus",NA,"pauliani",NA,"SPECIES",NA,"Lumaret, 1962",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418909",1418909,NA,1418906,NA,NA,NA,NA,NA,"Megarthroglossus oregonensis (Hubbard, 1947)","Megarthroglossus procus Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Megarthroglossus",NA,"oregonensis",NA,"SPECIES",NA,"Hubbard, 1947",NA,NA,NA,NA,NA,NA,NA,NA
