"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"ITIS202423",202423,202423,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kingdom",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS914154",914154,914154,NA,202423,NA,NA,NA,NA,"Bilateria",NA,NA,NA,NA,NA,NA,"Animalia","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"subkingdom",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS914155",914155,914155,NA,914154,NA,NA,NA,NA,"Protostomia",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"infrakingdom",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS914158",914158,914158,NA,914155,NA,NA,NA,NA,"Ecdysozoa",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"superphylum",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS82696",82696,82696,NA,914158,NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa","Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"phylum",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS563886",563886,563886,NA,82696,NA,NA,NA,NA,"Hexapoda",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda","Animalia","Arthropoda",NA,NA,NA,NA,NA,NA,NA,"subphylum",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS99209",99209,99209,563886,NA,NA,NA,NA,NA,"Apterygota",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda","Animalia","Arthropoda",NA,NA,NA,NA,NA,NA,NA,"subclass",NA,NA,NA,NA,"synonym",NA,"David Nicolson - ITIS Data Development Coordinator: Apterygota is considered to be paraphyletic, corresponding to multiple taxonomic groups within the Hexapoda",NA,NA,NA
"ITIS99208",99208,99208,NA,563886,NA,NA,NA,NA,"Insecta",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda","Animalia","Arthropoda",NA,NA,NA,NA,NA,NA,NA,"class",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS100500",100500,100500,NA,99208,NA,NA,NA,NA,"Pterygota",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,NA,"subclass",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS563890",563890,563890,NA,100500,NA,NA,NA,NA,"Neoptera",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,NA,"infraclass",NA,NA,NA,NA,"valid",NA,NA,NA,NA,NA
"ITIS100501",100501,100501,563890,NA,NA,NA,NA,NA,"Exopterygota",NA,NA,NA,NA,NA,NA,"Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota","Animalia","Arthropoda","Insecta",NA,NA,NA,NA,NA,NA,"infraclass",NA,NA,NA,NA,"synonym",NA,"David Nicolson - ITIS Data Development Coordinator: Although Exopterygota is used by some as a subdivision within the Neoptera, for the moment ITIS is not implementing this",NA,NA,NA
