"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"NMNH1",NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus (Nosopsyllus) londiniensis declivus Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus","Nosopsyllus","londiniensis","declivus",NA,NA,"Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH2",NA,NA,NA,NA,NA,NA,NA,NA,"Kohlsia traubi Tipton & Mendez, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Kohlsia",NA,"traubi",NA,NA,NA,"Tipton & Mendez, 1961",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH3",NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus (Penicus) geneatus Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Nosopsyllus","Penicus","geneatus",NA,NA,NA,"Traub, 1963",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH4",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Mediocte) russulae tangerensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Mediocte","russulae","tangerensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH5",NA,NA,NA,NA,NA,NA,NA,NA,"Epitedia cavernicola Traub, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Epitedia",NA,"cavernicola",NA,NA,NA,"Traub, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH6",NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus hecate Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Ectinorus",NA,"hecate",NA,NA,NA,"Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH7",NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus (Ectinorus) gallardoi Hastriter, 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Ectinorus","Ectinorus","gallardoi",NA,NA,NA,"Hastriter, 2001",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH8",NA,NA,NA,NA,NA,NA,NA,NA,"Macrostylophora levis Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Macrostylophora",NA,"levis",NA,NA,NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH9",NA,NA,NA,NA,NA,NA,NA,NA,"Myoxopsylla laverani traubi Lewis, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Myoxopsylla",NA,"laverani","traubi",NA,NA,"Lewis, 1966",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH10",NA,NA,NA,NA,NA,NA,NA,NA,"Thrassis francisi barnesi Stark, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Thrassis",NA,"francisi","barnesi",NA,NA,"Stark, 1970",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH11",NA,NA,NA,NA,NA,NA,NA,NA,"Phalacropsylla hamata Tipton & Mendez, 1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Phalacropsylla",NA,"hamata",NA,NA,NA,"Tipton & Mendez, 1968",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH12",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla (Micropsylla) sectilis goodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Hystrichopsyllidae","Rhadinopsylla","Micropsylla","sectilis","goodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH13",NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus chilensis Lewis, 1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Ectinorus",NA,"chilensis",NA,NA,NA,"Lewis, 1976",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH14",NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus martini Lewis, 1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Rhopalopsyllidae","Ectinorus",NA,"martini",NA,NA,NA,"Lewis, 1976",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH15",NA,NA,NA,NA,NA,NA,NA,NA,"Aetheca thamba (Jordan, 1929)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Aetheca",NA,"thamba",NA,NA,NA,"Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH16",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Monopsyllus) argus Rothschild, 1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Monopsyllus","argus",NA,NA,NA,"Rothschild, 1908",NA,NA,NA,NA,NA,NA,NA,NA
