Class,Subclass,Superorder,Order,Superfamily,Family,Subfamily,Genus,Species,Subgenus,Subspecies,Author,Males,Females,Nymphs,Larvae
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ABDUSSALAMI,,,HOOGSTRAAL  MCCARTHY 1965,130,141,73,345
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,AFRICOLUMBAE,,,HOOGSTRAAL  KAISER  WALKER  LEDGER,11,14,118,607
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ARBOREUS,,,KAISER  HOOGSTRAAL  KOHLS 1964,5196,5940,4372,1223
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ARGAS,,,KOHLS  HOOGSTRAAL,0,,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,AUSTRALIENSIS,,,KOHLS HOOGSTRAL 1962,12,24,32,51
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,BEKLEMISCHEVI PROBABLY,,,POSPELOVA-SHTROM  VISAL-YEVA  SEMAS,6,3,3,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,BOUETI,,,ROUBAUD  COLAS-BELCOUR,1001,1236,3099,610
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,BREVIPES,,,BANKS,21,21,43,54
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,BRUMPTI,,,NEUMANN,147,184,221,65
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,BUBALORNIS,,,,6,5,8,90
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,CEYLONENSIS,,,HOOGSTRAAL  KAISER 1968,14,6,11,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,CONFUSUS,,,HOOGSTRAAL 1955,31,49,30,220
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,COOLEYI,,,KOHLS  HOOGSTRAAL 1960,599,603,1399,289
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,CORDIFORMIS,,,HOOGSTRAAL  KOHLS 1967,4,3,2,32
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,CUCUMERINUS,,,NEUMANN,146,74,424,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,DAVIESI,,,KAISER  HOOGSTRAAL 1973,66,68,61,800
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,DEWAE,,,KAISER  HOOGSTRAAL 1974,5,4,3,32
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,DISSIMILE,,,,,1,4,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,DULUS,,,KEIRANS  CLIFFORD  CAPRILES 1971,1,1,10,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ECHINOPS,,,HOOGSTRAAL  UILENBERG  BLANC 1967,19,23,34,20
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,FALCO,,,KAISER  HOOGSTRAAL 1974,31,44,62,414
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,GIGANTEUS,,,KOHLS  CLIFFORD 1968,0,0,9,198
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,GILCOLLADOI,,,,,,,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,HERMANNI,,,AUDOUIN,992,846,2115,2088
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,HIMALAYENSIS,,,HOOGSTRAAL  KAISER 1973,0,0,0,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,HOOGSTRAALI,,,MOREL  VASSILIADES,40,45,40,73
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,JAPONICUS,,,YAMAGUTI  CLIFFORD  TIPTON 1968,43,54,27,69
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,LAGENOPLASTIS,,,FROGGATT,389,558,481,64
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,LATUS,,,FILIPPOVA,5,4,0,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,LGENOPLASTIS,,,FROGGATT,9,8,11,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,LOWRYAE,,,Kaiser & Hoogstraal 1975,3,8,11,69
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MACRODERMAE,,,,0,0,17,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MACROSTIGMATUS,,,,0,2,2,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MAGNUS,,,NEUMANN,3,2,1,20
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MINIATUS,,,KOCH,123,128,112,274
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MONACHUS,,,KEIRANS  CLIFFORD  RADOVSKY,80,88,40,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MONOLAKENSIS,,,,11,11,25,155
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,MORELI,,,"Keirans, Hoogstraal & Clifford 1979",28,26,3,13
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,NEGHMEI,,,KOHLS  HOOGSTRAAL 1961,88,45,230,11
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,NULLARBORENSIS,,,HOOGSTRAAL  KAISER 1973,6,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,PERINGUEYI,,,,240,230,175,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,persicargas,,keiransi,,,,,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,PERSICUS,,,(OKEN 1818),11236,10025,12740,4959
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,PERSIUS,,,(OKEN),0,0,2,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,POLONICUS,,,"Siuda, Hoogstraal, Clifford & Wassef, 1979",15,7,12,157
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,PUSILLUS,,,KOHLS,45,38,231,1025
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,RADIATUS,,,RAILLIET,1571,1477,1863,1402
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,REFLEXUS,,,(FABRICIUS 1794),246,328,372,235
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,REFLEXUS,,INDICUS,WARBURTON,1,2,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,REFLEXUS,,REFLEXUS,FABRICUS,4,1,0,30
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,RICEI,,,HOOGSTRAAL  KAISER  CLIFFORD  KEIRA 1975,133,79,224,6
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ROBERTSI,,,HOOGSTRAAL  KAISER  KOHLS,1658,1318,1848,1345
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,ROBERTSI (PERSICARGAS),,,,3,1,2,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,SANCHEXI,,,,1,0,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,SANCHEZI,,,DUGES,789,681,1085,384
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,SP,,DALEI PROBABLY,,0,0,0,7
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,SP,,,,207,193,1339,1281
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,SP.,,,(CARIOS),0,0,0,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,STREPTOPELIA,,,KAISER  HOOGSTRAAL  HORNER 1970,216,197,330,649
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Argasidae,,Argas,TESTUDO,,ROSSI,,0,0,0,0
