Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) londiniensis declivus Traub, 1963",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/32b9b8604-d5b8-4483-ac1f-0697b01e3c8c
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Kohlsia traubi Tipton & Mendez, 1961",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/35236db0f-acfd-4d6b-ae6a-6853491d36c9
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Penicus) geneatus Traub, 1963",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/334bdf6c8-f761-491b-b434-f74e754f5f9e
,,Species Inventory,Insecta,Siphonaptera,Hystrichopsyllidae,Ctenophthalmus (Mediocte) russulae tangerensis,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/383bdf32e-cfa9-43c1-956e-93b128160518
,,Species Inventory,Insecta,Siphonaptera,Hystrichopsyllidae,"Epitedia cavernicola Traub, 1957",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/380d78696-b1b3-48f8-85be-02e624a78c13
,,Species Inventory,Insecta,Siphonaptera,Rhopalopsyllidae,"Ectinorus hecate Johnson, 1957",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/3ca48275a-ebfc-44e3-bd8c-9934cb12f99f
,,Species Inventory,Insecta,Siphonaptera,Rhopalopsyllidae,"Ectinorus (Ectinorus) gallardoi Hastriter, 2001",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/37f1451ed-c3f3-4f09-8f0b-34884137f6bd
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Macrostylophora levis Jordan & Rothschild, 1922",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/37434beaa-13e7-44f8-8774-f70aa558e377
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Myoxopsylla laverani traubi Lewis, 1966",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/369ba0123-48b2-421c-adce-8c8aa6017a23
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Thrassis francisi barnesi Stark, 1970",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:35,http://n2t.net/ark:/65665/3979b85c4-92c1-4270-85d3-cc10c8f9c4f5
,,Species Inventory,Insecta,Siphonaptera,Hystrichopsyllidae,"Phalacropsylla hamata Tipton & Mendez, 1968",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/352928410-3a7d-4143-bd96-e89321484c81
,,Species Inventory,Insecta,Siphonaptera,Hystrichopsyllidae,Rhadinopsylla (Micropsylla) sectilis goodi,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/3a3262113-e00b-4343-aaf9-751855843ec8
,,Species Inventory,Insecta,Siphonaptera,Rhopalopsyllidae,"Ectinorus chilensis Lewis, 1976",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/352fd907c-47f4-4c3d-8897-d5ea3daa7dee
,,Species Inventory,Insecta,Siphonaptera,Rhopalopsyllidae,"Ectinorus martini Lewis, 1976",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",,,,,,,,1/15/2015 14:36,http://n2t.net/ark:/65665/36c456b8e-7d58-4c80-baf8-76f1bedb6c3a
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Aetheca thamba (Jordan, 1929)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:46,http://n2t.net/ark:/65665/36465e9ab-3fed-45a6-961d-151b3262136e
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Ceratophyllus (Monopsyllus) argus Rothschild, 1908",,,,,Slide,,,,,,,,,,,,,7,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:49,http://n2t.net/ark:/65665/3bea57cf2-f20b-4d2b-bc8e-7dce62e89a54
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Macrostylophora pilata (Jordan & Rothschild, 1922)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/315793d48-2dc4-4773-8234-beb8c34502d4
