TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLx8,x8,,,x6,,,,,Insecta,,,,,,,,,,Insecta,,,,,,,CLASS,,,,,ACCEPTED,,,,,,Insecta
CoLxG6,xG6,,,xG4,,,,,Stephanocircidae,,,,,,,,,,,,Stephanocircidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Stephanocircidae
CoLxB4,xB4,,,xB2,,,,,Ancistropsyllidae,,,,,,,,,,,,Ancistropsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Ancistropsyllidae
CoLxAW,xAW,,,xAU,,,,,Coptopsyllidae,,,,,,,,,,,,Coptopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Coptopsyllidae
CoLx84,x84,,,xQ,,,,,Xiphiopsyllidae,,,,,,,,,,,,Xiphiopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Xiphiopsyllidae
CoLxS,xS,,,xQ,,,,,Leptopsyllidae,,,,,,,,,,,,Leptopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Leptopsyllidae
CoLx5G,x5G,,,xQ,,,,,Ceratophyllidae,,,,,,,,,,,,Ceratophyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Ceratophyllidae
CoLx48,x48,,,xQ,,,,,Ischnopsyllidae,,,,,,,,,,,,Ischnopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Ischnopsyllidae
CoLxBJ,xBJ,,,xJ,,,,,Pygiopsyllidae,,,,,,,,,,,,Pygiopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Pygiopsyllidae
CoLxB8,xB8,,,xJ,,,,,Lycopsyllidae,,,,,,,,,,,,Lycopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Lycopsyllidae
CoLxL,xL,,,xJ,,,,,Stivaliidae,,,,,,,,,,,,Stivaliidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Stivaliidae
CoLx9U,x9U,,,xC,,,,,Tungidae,,,,,,,,,,,,Tungidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Tungidae
CoLxE,xE,,,xC,,,,,Pulicidae,,,,,,,,,,,,Pulicidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Pulicidae
CoLx68,x68,,,x66,,,,,Vermipsyllidae,,,,,,,,,,,,Vermipsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Vermipsyllidae
CoLx5C,x5C,,,x5A,,,,,Macropsyllidae,,,,,,,,,,,,Macropsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Macropsyllidae
CoLxA6,xA6,,,x4S,,,,,Malacopsyllidae,,,,,,,,,,,,Malacopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Malacopsyllidae
CoLx4U,x4U,,,x4S,,,,,Rhopalopsyllidae,,,,,,,,,,,,Rhopalopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Rhopalopsyllidae
CoLx4G,x4G,,,x4E,,,,,Hystrichopsyllidae,,,,,,,,,,,,Hystrichopsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Hystrichopsyllidae
CoLx4L,x4L,,,x4E,,,,,Chimaeropsyllidae,,,,,,,,,,,,Chimaeropsyllidae,,,,,FAMILY,,,,,ACCEPTED,,,,,,Chimaeropsyllidae
CoLxGQ,xGQ,,,xG6,,,,,Stephanocircus,,,,,,,,,,,,,Stephanocircus,,,,GENUS,,,,,ACCEPTED,,,,,,Stephanocircus
CoLxGN,xGN,,,xG6,,,,,Coronapsylla,,,,,,,,,,,,,Coronapsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Coronapsylla
CoLxGL,xGL,,,xG6,,,,,Tiarapsylla,,,,,,,,,,,,,Tiarapsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Tiarapsylla
CoLxGJ,xGJ,,,xG6,,,,,Sphinctopsylla,,,,,,,,,,,,,Sphinctopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Sphinctopsylla
CoLxGC,xGC,,,xG6,,,,,Craneopsylla,,,,,,,,,,,,,Craneopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Craneopsylla
