TPTdataset,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonicalName,dupe_dataset
BYU,1753,,,,,,,,Amphipsylla kuznetzovi,,,,,,,,,,,Siphonaptera,Leptopsyllidae,Amphipsylla,,kuznetzovi,,,,,,,,,,Ceratophyllomorpha,Ceratophylloidea,Amphipsyllinae,Amphipsylla kuznetzovi,BYU
BYUSYN,151,,,,,,,,"Amphipsylla kuznetzovi transcaucasica Goncharov, 1973","Amphipsylla transcaucasica Ioff, 1953",,,,,,,,,,,,Amphipsylla,,kuznetzovi,transcaucasica,,,"Goncharov, 1973",,,,Homonym,,,,,Amphipsylla kuznetzovi transcaucasica,BYU
BYU,1031,,,,,,,,"Chiastopsylla caffrarica DeMeillon, 1940",Chiastopsylla rossi (Waterston 1909),,,,,1940,,,,,Siphonaptera,Chimaeropsyllidae,Chiastopsylla,,caffrarica,,,,"DeMeillon, 1940",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Chiastopsyllinae,Chiastopsylla caffrarica,BYU
BYU,2961,,,,,,,,Ctenophthalmus,,,,,,,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,,,,,,,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae,Ctenophthalmus,BYU
BYU,315,,,,,,,,"Ctenophthalmus agyrtes jordanianus Peus, 1950","Ctenophthalmus agyrtes graecus Jordan, 1926",,,,,1950,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,agyrtes,jordanianus,,,"Peus, 1950",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae,Ctenophthalmus agyrtes jordanianus,BYU
BYU,2151,,,,,,,,Ctenophthalmus orphilus,,,,,,,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,orphilus,,,,,,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae,Ctenophthalmus orphilus,BYU
NMNH,251,,,,,,,,Dinopsyllus (Dinopsyllus),,,,,,,,,,Insecta,Siphonaptera,Hystrichopsyllidae,Dinopsyllus,Dinopsyllus,,,,,,,,,,,,,,Dinopsyllus,NMNH
BYU,3009,,,,,,,,Jellisonia,,,,,,,,,,,Siphonaptera,Ceratophyllidae,Jellisonia,,,,,,,,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae,Jellisonia,BYU
BYU,2375,,,,,,,,"Megabothris rhipisoides Li & Wang, 1964","Ceratophyllus garei Rothschild, 1902",,,,,1964,,,,,Siphonaptera,Ceratophyllidae,Megabothris,,rhipisoides,,,,"Li & Wang, 1964",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae,Megabothris rhipisoides,BYU
BYU,1906,,,,,,,,"Neopsylla marleaneae Lewis, 1971","Neopsylla stevensi stevensi Rothschild, 1915",,,,,1971,,,,,Siphonaptera,Ctenophthalmidae,Neopsylla,,marleaneae,,,,"Lewis, 1971",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Neopsyllinae,Neopsylla marleaneae,BYU
NMNH,67,,,,,,,,Nosopsyllus (Nosopsyllus),,,,,,,,,,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus,Nosopsyllus,,,,,,,,,,,,,,Nosopsyllus,NMNH
NMNH,91,,,,,,,,Nosopsyllus,,,,,,,,,,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus,,,,,,,,,,,,,,,Nosopsyllus,NMNH
BYU,248,,,,,,,,"Nosopsyllus laeviceps gobiensis Cyprich, Kiefer & Cendsuren, 1977",Nosopsyllus laeviceps ellobii (Wagner 1933),,,,,1977,,,,,Siphonaptera,Ceratophyllidae,Nosopsyllus,,laeviceps,gobiensis,,,"Cyprich, Kiefer & Cendsuren, 1977",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllinae,Nosopsyllus laeviceps gobiensis,BYU
BYU,1290,,,,,,,,"Peromyscopsylla duma Traub, 1944",Peromyscopsylla selenis (Rothschild 1906),,,,,1944,,,,,Siphonaptera,Leptopsyllidae,Peromyscopsylla,,duma,,,,"Traub, 1944",,,,,,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllinae,Peromyscopsylla duma,BYU
NMNH,211,,,,,,,,Polygenis (Polygenis),,,,,,,,,,Insecta,Siphonaptera,Rhopalopsyllidae,Polygenis,Polygenis,,,,,,,,,,,,,,Polygenis,NMNH
NMNH,287,,,,,,,,Pulex (Pulex),,,,,,,,,,Insecta,Siphonaptera,Pulicidae,Pulex,Pulex,,,,,,,,,,,,,,Pulex,NMNH
NMNH,239,,,,,,,,Pygiopsylla,,,,,,,,,,Insecta,Siphonaptera,Pygiopsyllidae,Pygiopsylla,,,,,,,,,,,,,,,Pygiopsylla,NMNH
BYU,3095,,,,,,,,Rhadinopsylla,,,,,,,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,,,,,,,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae,Rhadinopsylla,BYU
BYU,3172,,,,,,,,Rhadinopsyllinae,,,,,,,,,,,Siphonaptera,Ctenophthalmidae,,,,,,,,,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae,Rhadinopsyllinae,BYU
BYU,3175,,,,,,,,Spilopsyllinae,,,,,,,,,,,Siphonaptera,Pulicidae,,,,,,,,,,,,,Pulicomorpha,Pulicoidea,Spilopsyllinae,Spilopsyllinae,BYU
