TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily
BYUSYN254,,,,,,,,,"Atyphoceras felix Jordan, 1933",Atyphloceras multidentatus multidentatus (C. Fox 1909),,,,,,,,,,,,Atyphoceras,,felix,,,,"Jordan, 1933",,,,,recte Atyphloceras,,,
BYUSYN4,,,,,,,,,"Cheetopsylla kakhetiana Savenko, 1949","Chaetopsylla rothschildi Kohaut, 1903",,,,,,,,,,,,Cheetopsylla,,kakhetiana,,,,"Savenko, 1949",,,,,"[sic] Savenko, 1949",,,
BYU2079,,,,,,,,,"Zyx notabilis Smit, 1953",,,,,,1953,,,,,Siphonaptera,Stivaliidae,Zyx,,notabilis,,,,"Smit, 1953",,,,,,Pygiopsyllomorpha,Pygiopsylloidea,
BYU347,,,,,,,,,"Rhadinopsylla li li Argyropulo, 1941",,,,,,1941,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,li,li,,,"Argyropulo, 1941",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU409,,,,,,,,,"Rhadinopsylla li murium Ioff & Tiflov, 1946",,,,,,1946,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,li,murium,,,"Ioff & Tiflov, 1946",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU652,,,,,,,,,"Rhadinopsylla li transbaikalica Ioff & Tiflov, 1947",,,,,,1947,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,li,transbaikalica,,,"Ioff & Tiflov, 1947",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU687,,,,,,,,,"Rhadinopsylla li ventricosa Ioff & Tiflov, 1946",,,,,,1946,,,,,Siphonaptera,Ctenophthalmidae,Rhadinopsylla,,li,ventricosa,,,"Ioff & Tiflov, 1946",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Rhadinopsyllinae
BYU1302,,,,,,,,,"Ctenophthalmus dux Jordan & Rothschild, 1915",,,,,,1915,,,,,Siphonaptera,Ctenophthalmidae,Ctenophthalmus,,dux,,,,"Jordan & Rothschild, 1915",,,,,,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalminae
BYU1610,,,,,,,,,"Nycteridopsylla iae Beaucournu & Kock, 1992",,,,,,1992,,,,,Siphonaptera,Ischnopsyllidae,Nycteridopsylla,,iae,,,,"Beaucournu & Kock, 1992",,,,,,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllinae
BYU1642,,,,,,,,,"Peromyscopsylla ino Nakagawa & Sakaguti, 1959",,,,,,1959,,,,,Siphonaptera,Leptopsyllidae,Peromyscopsylla,,ino,,,,"Nakagawa & Sakaguti, 1959",,,,,,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllinae
