TPTdataset,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonicalName,reason
GBIF,8746322,NA,NA,5330,NA,NA,NA,NA,Plocopysylla nungui Schramm & Lewis,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Stephanocircidae,NA,NA,nungui,NA,Species,NA,Schramm & Lewis,NA,NA,Accepted,NA,NA,NA,NA,NA,Plocopysylla nungui,missing genus
GBIF,10569111,NA,NA,9010,NA,NA,NA,NA,"? sojanensis Becker-Migdisova, 1962",NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,sojanensis,NA,Unranked,NA,"Becker-Migdisova, 1962",NA,NA,Doubtful,NA,NA,NA,NA,NA,? sojanensis,missing genus
GBIF,10323909,NA,NA,9010,NA,NA,NA,NA,"? dasycnema Rothschild, 1897",NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,dasycnema,NA,Unranked,NA,"Rothschild, 1897",NA,NA,Doubtful,NA,NA,NA,NA,NA,? dasycnema,missing genus
GBIF,9147747,NA,NA,5329,NA,NA,NA,NA,Papyapsylla maxima Mardon,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Pygiopsyllidae,NA,NA,maxima,NA,Species,NA,Mardon,NA,NA,Accepted,NA,NA,NA,NA,NA,Papyapsylla maxima,missing genus
GBIF,8834996,NA,NA,9010,NA,NA,NA,NA,Paratyphlocera oregonensis Ewing,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,oregonensis,NA,Species,NA,Ewing,NA,NA,Accepted,NA,NA,NA,NA,NA,Paratyphlocera oregonensis,missing genus
GBIF,8780996,NA,NA,9010,NA,NA,NA,NA,Ctenopsyllus mexicanus Baker,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,mexicanus,NA,Species,NA,Baker,NA,NA,Accepted,NA,NA,NA,NA,NA,Ctenopsyllus mexicanus,missing genus
GBIF,8859023,NA,NA,9010,NA,NA,NA,NA,Ctenopsyllus hesperomys Baker,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,hesperomys,NA,Species,NA,Baker,NA,NA,Accepted,NA,NA,NA,NA,NA,Ctenopsyllus hesperomys,missing genus
GBIF,9124893,NA,NA,9010,NA,NA,NA,NA,Ctenopsyllus ravalliensis Dunn & Parker,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,ravalliensis,NA,Species,NA,Dunn & Parker,NA,NA,Accepted,NA,NA,NA,NA,NA,Ctenopsyllus ravalliensis,missing genus
GBIF,9162005,NA,NA,9010,NA,NA,NA,NA,Trichopsylla floridensis Fox,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Hystrichopsyllidae,NA,NA,floridensis,NA,Species,NA,Fox,NA,NA,Accepted,NA,NA,NA,NA,NA,Trichopsylla floridensis,missing genus
GBIF,9221645,NA,NA,5326,NA,NA,NA,NA,Opthalmopsylla volgensis Traub & Evans,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,Siphonaptera,Leptopsyllidae,NA,NA,volgensis,NA,Species,NA,Traub & Evans,NA,NA,Accepted,NA,NA,NA,NA,NA,Opthalmopsylla volgensis,missing genus
