"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","reason"
"GBIF","4770036",NA,NA,"5326",NA,NA,NA,NA,"Spinopsylla Ge & Ma, 1989",NA,NA,NA,NA,"Acta Zootaxonomica Sin 14 (1)",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Spinopsylla",NA,NA,NA,"Genus",NA,"Ge & Ma, 1989",NA,NA,"Doubtful",NA,NA,NA,NA,NA,"Spinopsylla",FALSE
"GBIF","1417752",NA,NA,"5326",NA,NA,NA,NA,"Minyctenopsyllus Liu, Zhung & Wang, 1979",NA,NA,NA,NA,"Acta Ent. Sin. 22 (2)",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Minyctenopsyllus",NA,NA,NA,"Genus",NA,"Liu, Zhung & Wang, 1979",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Minyctenopsyllus",TRUE
"GBIF","1418123",NA,NA,"5326",NA,NA,NA,NA,"Desertopsylla Ioff, 1946",NA,NA,NA,NA,"Med. Parasitol., Moscow, 15 (4)",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Desertopsylla",NA,NA,NA,"Genus",NA,"Ioff, 1946",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Desertopsylla",TRUE
"GBIF","1417762",NA,NA,"5326",NA,NA,NA,NA,"Frontopsylla J.N.Wagner & Ioff, 1926",NA,NA,NA,NA,"Rev. Microbiol. & Epidémiol., 5",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla",NA,NA,NA,"Genus",NA,"J.N.Wagner & Ioff, 1926",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Frontopsylla",TRUE
"GBIF","1417570",NA,NA,"5324",NA,NA,NA,NA,"Sternopsylla Jordan & Rothschild, 1921",NA,NA,NA,NA,"Ectoparasites, 1",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Sternopsylla",NA,NA,NA,"Genus",NA,"Jordan & Rothschild, 1921",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Sternopsylla",TRUE
"GBIF","1417454",NA,NA,"5324",NA,NA,NA,NA,"Myodopsylloides Auguston, 1941",NA,NA,NA,NA,"Bull. S. Calif. Acad. Sci., 40",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylloides",NA,NA,NA,"Genus",NA,"Auguston, 1941",NA,NA,"Doubtful",NA,NA,NA,NA,NA,"Myodopsylloides",TRUE
"GBIF","1417464",NA,NA,"5324",NA,NA,NA,NA,"Rhinolophopsylla Oudemans, 1909",NA,NA,NA,NA,"Ent. Ber. Nederl. Ver., 3, no. 49",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Rhinolophopsylla",NA,NA,NA,"Genus",NA,"Oudemans, 1909",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Rhinolophopsylla",TRUE
"GBIF","1419759",NA,NA,"5331",NA,NA,NA,NA,"Idiochaetis Jordan, 1937",NA,NA,NA,NA,"Novit. Zool., 40",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Idiochaetis",NA,NA,NA,"Genus",NA,"Jordan, 1937",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Idiochaetis",TRUE
"GBIF","1419734",NA,NA,"5331",NA,NA,NA,NA,"Papuapsylla Holland, 1969",NA,NA,NA,NA,"Mem. Ent. Soc. Can. No. 61",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Papuapsylla",NA,NA,NA,"Genus",NA,"Holland, 1969",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Papuapsylla",TRUE
"GBIF","1419726",NA,NA,"5331",NA,NA,NA,NA,"Orthopsylloides Holland, 1969",NA,NA,NA,NA,"Mem. Ent. Soc. Can. No. 61",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Orthopsylloides",NA,NA,NA,"Genus",NA,"Holland, 1969",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Orthopsylloides",TRUE
"GBIF","1417530",NA,NA,"5324",NA,NA,NA,NA,"Thaumapsylla Rothschild, 1907",NA,NA,NA,NA,"Novit. Zool., 14",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Thaumapsylla",NA,NA,NA,"Genus",NA,"Rothschild, 1907",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Thaumapsylla",TRUE
"GBIF","1417576",NA,NA,"5324",NA,NA,NA,NA,"Hirtopsylla",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Hirtopsylla",NA,NA,NA,"Genus",NA,NA,NA,NA,"Doubtful",NA,NA,NA,NA,NA,"Hirtopsylla",TRUE
"GBIF","1417582",NA,NA,"5324",NA,NA,NA,NA,"Ptilopsylla Jordan & Rothschild, 1921",NA,NA,NA,NA,"Ectoparasites, 1",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ptilopsylla",NA,NA,NA,"Genus",NA,"Jordan & Rothschild, 1921",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Ptilopsylla",TRUE
"GBIF","1417440",NA,NA,"5324",NA,NA,NA,NA,"Araeopsylla Jordan & Rothschild, 1921",NA,NA,NA,NA,"Ectoparasites, 1",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Araeopsylla",NA,NA,NA,"Genus",NA,"Jordan & Rothschild, 1921",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Araeopsylla",TRUE
"GBIF","1419694",NA,NA,"5331",NA,NA,NA,NA,"Lentistivalius Traub, 1972",NA,NA,NA,NA,"Bull. Br. Mus. Nat. Hist. (Zool.) 23",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Lentistivalius",NA,NA,NA,"Genus",NA,"Traub, 1972",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Lentistivalius",TRUE
"GBIF","1419828",NA,NA,"5331",NA,NA,NA,NA,"Gryphopsylla Traub, 1957",NA,NA,NA,NA,"Stud. Inst. Med. Res. F. M. S. No. 28",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Gryphopsylla",NA,NA,NA,"Genus",NA,"Traub, 1957",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Gryphopsylla",TRUE
"GBIF","1419764",NA,NA,"5331",NA,NA,NA,NA,"Farhangia Traub, 1980",NA,NA,NA,NA,"In Traub & Starcke [Eds]. Fleas. Proceedings of the International Conference on Fleas, Ashton Wold, Peterborough, UK, 21-25 June 1977. A. A. Balkema, Rotterdam",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Farhangia",NA,NA,NA,"Genus",NA,"Traub, 1980",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Farhangia",TRUE
"GBIF","10489172",NA,NA,"1419562",NA,NA,NA,NA,"BOLD:ACD7675",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllus",NA,NA,NA,"Unranked",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,NA,"Spilopsyllus",TRUE
"GBIF","1417450",NA,NA,"5324",NA,NA,NA,NA,"Rothschildopsylla Guimarães, 1953",NA,NA,NA,NA,"Pap. Dep. Zool. Sec. Agric. S. Paulo, 11",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Rothschildopsylla",NA,NA,NA,"Genus",NA,"Guimarães, 1953",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Rothschildopsylla",TRUE
"GBIF","1417594",NA,NA,"5324",NA,NA,NA,NA,"Oxyparius Jordan, 1936",NA,NA,NA,NA,"Novit. Zool., 40",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Oxyparius",NA,NA,NA,"Genus",NA,"Jordan, 1936",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Oxyparius",TRUE
"GBIF","1419757",NA,NA,"5331",NA,NA,NA,NA,"Ernestinia Smit, 1953",NA,NA,NA,NA,"Amer. Mus. Novit., no. 1638",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Ernestinia",NA,NA,NA,"Genus",NA,"Smit, 1953",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Ernestinia",TRUE
"GBIF","1419817",NA,NA,"5331",NA,NA,NA,NA,"Metastivalius Holland, 1969",NA,NA,NA,NA,"Mem. Ent. Soc. Can. No. 61",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Metastivalius",NA,NA,NA,"Genus",NA,"Holland, 1969",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Metastivalius",TRUE
"GBIF","1419810",NA,NA,"5331",NA,NA,NA,NA,"Smitella Traub, 1968",NA,NA,NA,NA,"J. Med. Ent. Honolulu 5",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Smitella",NA,NA,NA,"Genus",NA,"Traub, 1968",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Smitella",TRUE
"GBIF","9466410",NA,NA,"5331",NA,NA,NA,NA,"Wilsonipsylla Hastriter, 2012",NA,NA,NA,NA,"Article title: Description of Wilsonipsylla spinicoxa, new genus and species of flea from Papua New Guinea and review of the suborder Pygiopsyllomorpha (Insecta: Siphonaptera).",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Wilsonipsylla",NA,NA,NA,"Genus",NA,"Hastriter, 2012",NA,NA,"Doubtful",NA,NA,NA,NA,NA,"Wilsonipsylla",TRUE
"GBIF","4770147",NA,NA,"5324",NA,NA,NA,NA,"Tanglha Liu, Wu & Wu, 1977",NA,NA,NA,NA,"Acta Ent. Sin. 20",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Tanglha",NA,NA,NA,"Genus",NA,"Liu, Wu & Wu, 1977",NA,NA,"Doubtful",NA,NA,NA,NA,NA,"Tanglha",FALSE
"GBIF","1417597",NA,NA,"5324",NA,NA,NA,NA,"Ischnopsyllus Westwood, 1833",NA,NA,NA,NA,"Ent. Mag., 4 (1)",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllus",NA,NA,NA,"Genus",NA,"Westwood, 1833",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Ischnopsyllus",TRUE
"GBIF","1417455",NA,NA,"5324",NA,NA,NA,NA,"Coorilla Dunnet & Mardon, 1973",NA,NA,NA,NA,"J. Aust. Ent. Soc. 12",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Coorilla",NA,NA,NA,"Genus",NA,"Dunnet & Mardon, 1973",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Coorilla",TRUE
"GBIF","1419790",NA,NA,"5331",NA,NA,NA,NA,"Stivalius Jordan & Rothschild, 1922",NA,NA,NA,NA,"Ectoparasites, 1",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Stivalius",NA,NA,NA,"Genus",NA,"Jordan & Rothschild, 1922",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Stivalius",TRUE
"GBIF","1417460",NA,NA,"5324",NA,NA,NA,NA,"Dampfia Smit, 1954",NA,NA,NA,NA,"Parasitology, 44",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Dampfia",NA,NA,NA,"Genus",NA,"Smit, 1954",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Dampfia",TRUE
"GBIF","1417577",NA,NA,"5324",NA,NA,NA,NA,"Allopsylla Beaucournu & Fain, 1982",NA,NA,NA,NA,"Revue Zool. afr. 96 (3)",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Allopsylla",NA,NA,NA,"Genus",NA,"Beaucournu & Fain, 1982",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Allopsylla",TRUE
"GBIF","1417452",NA,NA,"5324",NA,NA,NA,NA,"Serendipsylla Smit, 1975",NA,NA,NA,NA,"J. Ent. (B) 43",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Serendipsylla",NA,NA,NA,"Genus",NA,"Smit, 1975",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Serendipsylla",TRUE
"GBIF","1417500",NA,NA,"5324",NA,NA,NA,NA,"Mitchella Lewis, 1970",NA,NA,NA,NA,"J. Parasit. 56",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Mitchella",NA,NA,NA,"Genus",NA,"Lewis, 1970",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Mitchella",TRUE
"GBIF","1417536",NA,NA,"5324",NA,NA,NA,NA,"Hormopsylla Rothschild, 1921",NA,NA,NA,NA,"Ectoparasites, 1",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Hormopsylla",NA,NA,NA,"Genus",NA,"Rothschild, 1921",NA,NA,"Accepted",NA,NA,NA,NA,NA,"Hormopsylla",TRUE
