"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYUSYN",138,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Cediopsylla simplex (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,"cediopsylla",NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN",139,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Cediopsylla spillmanni Jordan, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,"cediopsylla",NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN",140,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Cediopsylla tepolita Barrera, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,"cediopsylla",NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN",34,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi (Wagner 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"acutus",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus","BYU"
"BYUSYN",35,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Oropsylla montana (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"acutus",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus","BYU"
"BYUSYN",528,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"hexactena","petropolitana",NA,NA,"Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana","BYU"
"BYUSYN",529,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"hexactena","petropolitana",NA,NA,"Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana","BYU"
"BYU",1569,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis (Curtis 1826)",NA,NA,NA,NA,NA,1826,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"hirundinis",NA,NA,NA,"(Curtis 1826)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Ceratophyllus hirundinis","BYU"
"BYUSYN",62,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis Chao, 1947","Ceratophyllus hirundinis (Curtis 1826)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"hirundinis",NA,NA,NA,"Chao, 1947",NA,NA,NA,"Homonym",NA,NA,NA,NA,"Ceratophyllus hirundinis","BYU"
"BYUSYN",92,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"monedulae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae","BYU"
