"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName"
"BYUSYN","7",NA,NA,NA,NA,NA,NA,NA,"Paracoptopsylla Argyropulo, 1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argyropulo, 1938",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","14",NA,NA,NA,NA,NA,NA,NA,"Hirtopsylla Argyropulo, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argyropulo, 1948",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","22",NA,NA,NA,NA,NA,NA,NA,"Pleochaetoides Augustson, 1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Augustson, 1944",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","99",NA,NA,NA,NA,NA,NA,NA,"Rangulpsylla Darskaya, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Darskaya, 1949",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","152",NA,NA,NA,NA,NA,NA,NA,"Miochaeta Good, 1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good, 1942",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","167",NA,NA,NA,NA,NA,NA,NA,"Hollandiana Hopkins, 1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hopkins, 1951",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","219",NA,NA,NA,NA,NA,NA,NA,"Hystroceras Ioff & Scalon, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ioff & Scalon, 1950",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","212",NA,NA,NA,NA,NA,NA,NA,"Aneptescopsylla Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","213",NA,NA,NA,NA,NA,NA,NA,"Dinycteridopsylla Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","214",NA,NA,NA,NA,NA,NA,NA,"Hexanycteropsylla Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ioff, 1953",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","506",NA,NA,NA,NA,NA,NA,NA,"Jellisonia Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","513",NA,NA,NA,NA,NA,NA,NA,"Migrastivalius Traub, 1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Traub, 1980",NA,NA,NA,NA,NA,NA,NA,NA,"review"
"BYUSYN","536",NA,NA,NA,NA,NA,NA,NA,"Rectofrontia Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"review"
