"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYU","2961",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Ctenophthalmus","BYU"
"BYU","2962",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea",NA,"Ctenophthalmus","BYU"
"BYU","3009",NA,NA,NA,NA,NA,NA,NA,"Jellisonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Jellisonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Jellisonia","BYU"
"BYU","3095",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsylla","BYU"
"BYU","3096",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsylla","BYU"
"BYU","3172",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsyllinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsyllinae","BYU"
"BYU","3173",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsyllinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Rhadinopsyllinae","BYU"
"BYU","3175",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Spilopsyllinae","Spilopsyllinae","BYU"
"BYU","3176",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Spilopsyllinae","Spilopsyllinae","BYU"
"BYU","3177",NA,NA,NA,NA,NA,NA,NA,"Spilopsyllinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Spilopsyllinae","Spilopsyllinae","BYU"
"BYUSYN","138",NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN","139",NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN","140",NA,NA,NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla",NA,NA,NA,NA,NA,"Ewing, 1940",NA,NA,NA,NA,NA,NA,NA,NA,"Acediopsylla","BYU"
"BYUSYN","141",NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Ewing & Fox",NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla","BYU"
"BYUSYN","288",NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla","BYU"
"BYUSYN","313",NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Kolenati, 1856",NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN","324",NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Kolenati, 1863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla",NA,NA,NA,NA,NA,"Kolenati, 1863",NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla","BYU"
"BYUSYN","357",NA,NA,NA,NA,NA,NA,NA,"Glauertidos M Rothschild, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos",NA,NA,NA,NA,NA,"M Rothschild, 1937",NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos","BYU"
"BYUSYN","382",NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN","401",NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla",NA,NA,NA,NA,NA,"Pinto, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"Spalacopsylla","BYU"
"BYUSYN","356",NA,NA,NA,NA,NA,NA,NA,"Glauertidos M Rothschild, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos",NA,NA,NA,NA,NA,"Rothschild, 1937",NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos","BYU"
"BYUSYN","506",NA,NA,NA,NA,NA,NA,NA,"Jellisonia Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia","BYU"
"BYU","1753",NA,NA,NA,NA,NA,NA,NA,"Amphipsylla kuznetzovi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Amphipsylla",NA,"kuznetzovi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Amphipsylla kuznetzovi","BYU"
"BYU","1569",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus hirundinis (Curtis 1826)",NA,NA,NA,NA,NA,1826,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"hirundinis",NA,NA,NA,"(Curtis 1826)",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Ceratophyllus hirundinis","BYU"
"BYU","1031",NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla caffrarica DeMeillon, 1940",NA,NA,NA,NA,NA,1940,NA,NA,NA,NA,"Siphonaptera","Chimaeropsyllidae","Chiastopsylla",NA,"caffrarica",NA,NA,NA,"DeMeillon, 1940",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Chiastopsyllinae","Chiastopsylla caffrarica","BYU"
