"missing_taxa","taxonRank"
"Nosopsyllus","genus"
"Kohlsia","genus"
"Ctenophthalmus","genus"
"Epitedia","genus"
"Ectinorus","genus"
"Macrostylophora","genus"
"Myoxopsylla","genus"
"Thrassis","genus"
"Phalacropsylla","genus"
"Rhadinopsylla","genus"
"Aetheca","genus"
"Ceratophyllus","genus"
"Libyastus","genus"
"Malaraeus","genus"
"Megabothris","genus"
"Orchopeas","genus"
"Paraceras","genus"
"Pleochaetis","genus"
"Plusaetis","genus"
"Mioctenopsylla","genus"
"Rostropsylla","genus"
"Tarsopsylla","genus"
"Araeopsylla","genus"
"Ischnopsyllus","genus"
"Lagaropsylla","genus"
"Myodopsylla","genus"
"Nycteridopsylla","genus"
"Rhinolophopsylla","genus"
"Acropsylla","genus"
"Eumolpianus","genus"
"Opisodasys","genus"
"Oropsylla","genus"
"Paradoxopsyllus","genus"
"Chiropteropsylla","genus"
"Sigmactenus","genus"
"Neopsylla","genus"
"Palaeopsylla","genus"
"Anomiopsyllus","genus"
"Delotelis","genus"
"Dinopsyllus","genus"
"Doratopsylla","genus"
"Stephanocircus","genus"
"Coptopsylla","genus"
"Parapsyllus","genus"
"Polygenis","genus"
"Rhopalopsyllus","genus"
"Acanthopsylla","genus"
"Bibikovana","genus"
"Aviostivalius","genus"
"Stivalius","genus"
"Ptilopsylla","genus"
"Xenopsylla","genus"
"Synosternus","genus"
"Stenoponia","genus"
"Ctenocephalides","genus"
"Pulex","genus"
"Hectopsylla","genus"
"Malacopsylla","genus"
"Tiamastus","genus"
"Craneopsylla","genus"
"Delostichus","genus"
"Rhynchopsyllus","genus"
"Tunga","genus"
"Leptopsylla","genus"
"Echidnophaga","genus"
"Macropsylla","genus"
"Bradiopsylla","genus"
"Choristopsylla","genus"
"Lycopsylla","genus"
"Pygiopsylla","genus"
"Metastivalius","genus"
"Chiastopsylla","genus"
"Listropsylla","genus"
"Pariodontis","genus"
"Procaviopsylla","genus"
"Adoratopsylla","genus"
"Cediopsylla","genus"
"Hystrichopsylla","genus"
"Amalaraeus","genus"
"Amaradix","genus"
"Ctenophyllus","genus"
"Dasypsyllus","genus"
"Peromyscopsylla","genus"
"Nearctopsylla","genus"
"Atyphloceras","genus"
"Catallagia","genus"
"Euhoplopsyllus","genus"
"Chaetopsylla","genus"
"Phthiropsylla","genus"
"Tetrapsyllus","genus"
"Citellophilus","genus"
"Frontopsylla","genus"
"Amphalius","genus"
"Ophthalmopsylla","genus"
"Plocopsylla","genus"
"Neotyphlocerus","genus"
"Hypsophthalmus","genus"
"Afristivalius","genus"
"Hopkinsipsylla","genus"
"Mesopsylla","genus"
"Parapulex","genus"
"Typhloceras","genus"
"Archaeopsylla","genus"
"Delopsylla","genus"
"Spilopsyllus","genus"
"Notiopsylla","genus"
"Foxella","genus"
"Baculomeris","genus"
"Wenzella","genus"
"Lentistivalius","genus"
"Medwayella","genus"
"Thaumapsylla","genus"
"Cratynius","genus"
"Rothschildiana","genus"
"Callopsylla","genus"
"Amphipsylla","genus"
"Caenopsylla","genus"
"Wagneria","genus"
"Ornithopsylla","genus"
"Xiphiopsylla","genus"
"Moeopsylla","genus"
"Centetipsylla","genus"
"Synopsyllus","genus"
"Gryphopsylla","genus"
"Jellisonia","genus"
"Strepsylla","genus"
"Sternopsylla","genus"
"Dactylopsylla","genus"
"Corrodopsylla","genus"
"Meringis","genus"
"Stenistomera","genus"
"Hoplopsyllus","genus"
"Epirimia","genus"
"Smitipsylla","genus"
"Ancistropsylla","genus"
"Genoneopsylla","genus"
"Tiflovia","genus"
"Hoogstralia","genus"
"Ideochaetis","genus"
"Orthopsylloides","genus"
"Papuapsylla","genus"
"Parastivalius","genus"
"Rectidigitus","genus"
"Striopsylla","genus"
"Traubia","genus"
"Phaenopsylla","genus"
"Xenodaeria","genus"
"Nonnapsylla","genus"
"Agastopsylla","genus"
"Cleopsylla","genus"
"Sphinctopsylla","genus"
"Tiarapsylla","genus"
"Nestivalius","genus"
"Vermipsylla","genus"
"Chimaeropsylla","genus"
"Demeillonia","genus"
"Macroscelidopsylla","genus"
"Praopsylla","genus"
"Odontopsyllus","genus"
"Dolichopsyllus","genus"
"Jordanopsylla","genus"
"Megarthroglossus","genus"
"Conorhinopsylla","genus"
"Corypsylla","genus"
"Paratyphloceras","genus"
"Carteretta","genus"
"Trichopsylloides","genus"
"Spicata","genus"
"Geusibia","genus"
"Callistopsyllus","genus"
"Tamiophila","genus"
"Ctenidiosomus","genus"
"Ceratophyllidae","family"
"Hystrichopsyllidae","family"
"Rhopalopsyllidae","family"
"Leptopsyllidae","family"
"Stephanocircidae","family"
"Coptopsyllidae","family"
"Pygiopsyllidae","family"
"Stivaliidae","family"
"Pulicidae","family"
"Malacopsyllidae","family"
"Tungidae","family"
"Macropsyllidae","family"
"Lycopsyllidae","family"
"Chimaeropsyllidae","family"
"Xiphiopsyllidae","family"
"Ancistropsyllidae","family"
