"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","reason"
"BYUSYN254",NA,NA,NA,NA,NA,NA,NA,NA,"Atyphoceras felix Jordan, 1933","Atyphloceras multidentatus multidentatus (C. Fox 1909)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atyphoceras",NA,NA,"felix",NA,NA,"Jordan, 1933",NA,NA,NA,NA,"recte Atyphloceras",NA,NA,NA,"missing specificEpithet"
"BYUSYN4",NA,NA,NA,NA,NA,NA,NA,NA,"Cheetopsylla kakhetiana Savenko, 1949","Chaetopsylla rothschildi Kohaut, 1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheetopsylla",NA,NA,"kakhetiana",NA,NA,"Savenko, 1949",NA,NA,NA,NA,"[sic] Savenko, 1949",NA,NA,NA,"missing specificEpithet"
"CoL128720","128720",NA,128710,NA,NA,NA,NA,NA,"Opisodasys jellisoni (female) Fox, 1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys",NA,"jellisoni (female)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"CoL130150","130150",NA,130110,NA,NA,NA,NA,NA,"Ctenonotus jellisoni (male) (Fox, 1941)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenonotus",NA,"jellisoni (male)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"CoL124680","124680",NA,124630,NA,NA,NA,NA,NA,"Ceratopsyllus rhipisoides (female) (Li & Wang, 1964)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratopsyllus",NA,"rhipisoides (female)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"CoL136880","136880",NA,136870,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi (male) Oudemans, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi (male)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"CoL136730","136730",NA,136720,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi (female) Oudemans, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi (female)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"CoL114500","114500",NA,114490,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis (female) Brelich, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis (female)",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"multi term genus, specificEpithet or infraspecificEpithet"
"BYU2079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Zyx",NA,"notabilis",NA,NA,NA,"Smit, 1953",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"short name"
"CoL109520","109520",NA,NA,"xE6",NA,NA,NA,NA,"Zyx notabilis Smit, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zyx",NA,"notabilis",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"BYU347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"li","li",NA,NA,"Argyropulo, 1941",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"li","murium",NA,NA,"Ioff & Tiflov, 1946",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"li","transbaikalica",NA,NA,"Ioff & Tiflov, 1947",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"li","ventricosa",NA,NA,"Ioff & Tiflov, 1946",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU1302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"dux",NA,NA,NA,"Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","short name"
"BYU1610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Nycteridopsylla",NA,"iae",NA,NA,NA,"Beaucournu & Kock, 1992",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","short name"
"BYU1642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"ino",NA,NA,NA,"Nakagawa & Sakaguti, 1959",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae","short name"
"BYU1805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"li",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU1862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Cratynius",NA,"lui",NA,NA,NA,"Gong & Lei, 1988",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae","short name"
"BYU1863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"lui",NA,NA,NA,"Hsieh & Jameson, 1971",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","short name"
"BYU1864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Syngenopsyllus",NA,"lui",NA,NA,NA,"Li, 1995",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","short name"
"BYU1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Palaeopsylla",NA,"mai",NA,NA,NA,"Liu & Chen, 2006",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","short name"
"BYU2371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Ctenidiosomus",NA,"rex",NA,NA,NA,"Johnson, 1957",NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"short name"
"BYU2864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"wui",NA,NA,NA,"Wang & Liu, 1996",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","short name"
"BYU2865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Stenischia",NA,"wui",NA,NA,NA,"Xie & Lin, 1989",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","short name"
"BYU2868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"xei",NA,NA,NA,"Gong & Duan, 1992",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","short name"
"BYU2875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Callopsylla",NA,"xui",NA,NA,NA,"Wu, Guo & Liu, 1996",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","short name"
"BYU2880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Callopsylla",NA,"yui",NA,NA,NA,"ye & Jiang, 1990",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","short name"
"BYU2893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,"Siphonaptera","Hystrichopsyllidae","Hystrichopsylla",NA,"zii",NA,NA,NA,"Gong, 1992",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Hystrichopsyllinae","short name"
"BYUSYN168",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus wui Hsü, 1935","Nycteridopsylla galba Dampf, 1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"wui",NA,NA,NA,"Hsü, 1935",NA,NA,NA,NA,NA,NA,NA,NA,"short name"
"CoL132170","132170",NA,NA,"x34",NA,NA,NA,NA,"Cratynius lui Gong Zhengda & Lei Yamin, 1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cratynius",NA,"lui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL133040","133040",NA,NA,"x46",NA,NA,NA,NA,"Peromyscopsylla ino Nakagawa & Sakaguti, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla",NA,"ino",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL130080","130080",NA,NA,"xK2",NA,NA,NA,NA,"Syngenopsyllus lui Li Kuei-chen, 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syngenopsyllus",NA,"lui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL123390","123390",NA,NA,"xH6",NA,NA,NA,NA,"Callopsylla yui Ye Ruiyu & Jiang Wanwu, 1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callopsylla",NA,"yui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL123380","123380",NA,NA,"xH6",NA,NA,NA,NA,"Callopsylla xui Wu Hou-yong, Guo Tian-yu & Liu Quan, 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callopsylla",NA,"xui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL138830","138830",NA,NA,"x6G",NA,NA,NA,NA,"Ceratophyllus wui Wang & Liu, 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"wui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL137730","137730",NA,NA,"x4A",NA,NA,NA,NA,"Nycteridopsylla iae Beaucournu & Kock, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"iae",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL137720","137720",NA,137710,NA,NA,NA,NA,NA,"Typhlopsylla wui Hsu, 1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Typhlopsylla",NA,"wui",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA,"short name"
"CoL107620","107620",NA,NA,"xBS",NA,NA,NA,NA,"Ctenidiosomus rex Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenidiosomus",NA,"rex",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL115900","115900",NA,NA,"xF2",NA,NA,NA,NA,"Doratopsylla jii Xie Baoqi & Tian Jie, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Doratopsylla",NA,"jii",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL119840","119840",NA,NA,"x62",NA,NA,NA,NA,"Stenischia wui Xie Baoqi & Lia Jiabing, 1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stenischia",NA,"wui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL120970","120970",NA,NA,"x5Q",NA,NA,NA,NA,"Hystrichopsylla zii Gong Zhengda, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla",NA,"zii",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL111610","111610",NA,NA,"x4Q",NA,NA,NA,NA,"Ctenophthalmus dux Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"dux",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL114210","114210",NA,NA,"x4Q",NA,NA,NA,NA,"Ctenophthalmus lui Hsieh & Jameson, 1971, 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"lui",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
"CoL119500","119500",NA,NA,"x52",NA,NA,NA,NA,"Rhadinopsylla li Argyropulo, 1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla",NA,"li",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA,"short name"
